qid1_n,freq_qid1
8461,50
14110,48
1749,47
20628,47
25984,47
4951,46
27618,45
14772,45
58173,44
2559,42
19200,42
9006,42
3595,42
14111,41
1885,41
71948,41
6551,40
24296,40
31868,39
51617,39
21712,39
7529,38
6099,38
19199,37
10433,36
17761,36
6799,36
47485,36
10859,36
877,35
2438,35
4264,35
7800,34
8353,34
8066,34
8885,34
13748,34
26185,33
20201,33
19621,32
6438,32
61018,32
525,32
102817,32
40724,32
5122,32
33833,31
3829,31
4446,31
50535,31
2675,31
24297,31
3938,30
29055,30
63934,30
5902,30
23786,30
5433,30
47300,30
11588,30
16814,30
33176,30
5903,30
21876,30
6274,29
8462,29
35003,29
27379,29
85165,29
4950,29
159,29
2374,29
14221,29
38362,29
7016,29
15766,29
52298,28
2656,28
18753,28
24792,28
5041,28
9007,28
10329,28
6437,28
21713,28
43544,28
5358,28
19399,28
11091,27
13749,27
5434,27
14695,27
642,27
1062,27
10330,27
104629,26
643,26
10671,26
30274,26
1931,26
3946,26
25695,26
10322,26
13889,26
11804,25
11392,25
1932,25
2322,25
11167,25
52331,25
526,25
40046,25
10693,25
39755,25
10472,25
11397,25
50805,25
4038,25
35123,25
28559,25
28639,25
24118,25
4753,25
70277,25
14926,25
12241,25
75917,25
19931,24
16176,24
53167,24
35043,24
89997,24
27851,24
4018,24
12214,24
40173,24
26094,24
23070,24
3749,24
13817,24
35930,24
12717,24
2929,24
8154,23
27331,23
68425,23
876,23
41567,23
10382,23
1347,23
30681,23
17587,23
32317,23
23171,23
23108,23
11168,23
12851,23
11638,23
17589,23
6421,23
25820,23
11342,23
15349,23
7842,23
21662,22
19487,22
2892,22
13778,22
44331,22
13650,22
3073,22
3349,22
33412,22
1977,22
1893,22
61254,22
10566,22
1357,22
34332,22
34523,22
11881,22
66488,22
7753,22
19290,22
23355,22
36426,22
20601,22
10280,21
1182,21
142040,21
1858,21
25708,21
1286,21
67403,21
10359,21
15953,21
25851,21
25911,21
34694,21
6422,21
14287,21
6480,21
24548,21
1595,21
4051,21
882,21
97339,21
8730,21
18419,21
57561,21
55785,21
9002,21
21592,21
42587,21
46198,21
27314,21
23717,21
67393,21
58690,21
45282,21
57933,20
68962,20
5912,20
3750,20
17278,20
18758,20
30047,20
113631,20
20672,20
5051,20
18296,20
47990,20
114804,20
53467,20
1178,20
14297,20
51980,20
1358,20
6552,20
2711,20
57,20
26383,20
122585,20
80153,20
55843,20
82816,20
4037,20
11408,20
31120,20
85662,20
9185,20
7002,20
42810,20
7445,20
7391,20
40219,20
1375,20
43839,20
9189,20
7059,20
11212,20
44269,20
10437,20
8023,20
36447,20
58672,20
60125,20
33475,20
14376,20
10234,20
55149,19
51266,19
24179,19
10321,19
28276,19
36120,19
21279,19
4265,19
27998,19
3790,19
32781,19
2502,19
17811,19
39851,19
2195,19
24735,19
163227,19
30055,19
91511,19
5724,19
918,19
30021,19
8974,19
546,19
35301,19
9917,19
30544,19
71020,19
6171,19
35040,19
11442,19
3768,19
43745,19
23593,19
76908,19
34543,19
71930,19
1100,19
84853,19
145,19
13373,19
25994,19
11396,19
63028,19
9003,19
71417,18
7682,18
18655,18
30307,18
17051,18
67069,18
47020,18
21821,18
19546,18
21009,18
73272,18
7948,18
42298,18
7525,18
43591,18
58150,18
6261,18
18483,18
5514,18
5166,18
4351,18
3506,18
26095,18
55734,18
3260,18
79612,18
6993,18
22698,18
51721,18
37,18
54749,18
2025,18
22122,18
53632,18
9004,18
24579,18
24597,18
52282,18
88252,18
93259,18
32233,18
88042,18
1309,18
62668,18
36796,18
79641,18
13184,18
24989,18
10311,18
33359,18
24734,18
61435,18
39386,18
39395,18
23743,18
9873,18
9754,18
9596,18
74289,18
9849,17
18953,17
23192,17
26937,17
71195,17
23555,17
20614,17
82022,17
26613,17
24260,17
71508,17
371,17
26614,17
7861,17
42626,17
232201,17
40917,17
10473,17
9026,17
70187,17
40091,17
9519,17
39242,17
1373,17
87157,17
2561,17
131214,17
5307,17
141870,17
82307,17
27661,17
52345,17
55070,17
195341,17
2920,17
1772,17
50405,17
4754,17
3737,17
49638,17
48846,17
114739,17
4121,17
57174,17
2567,17
4100,17
73666,17
35075,17
1214,17
13555,17
11233,17
65391,17
38520,17
15139,17
16016,17
34756,17
17231,17
22008,17
35259,17
17410,17
11434,17
35921,17
11605,17
36296,17
21693,16
14788,16
4306,16
17437,16
71105,16
1919,16
3767,16
14840,16
2420,16
15044,16
16179,16
4415,16
8975,16
16462,16
10695,16
14149,16
8475,16
10216,16
